,PML
2/1/2002,1.0545
3/1/2002,1.7225
4/1/2002,1.819333333
5/1/2002,3.04625
6/1/2002,2.71575
7/1/2002,1.6695
8/1/2002,1.39425
9/1/2002,1.0565
10/1/2002,0.955666667
11/1/2002,0.55525
12/1/2002,0.0725
1/1/2003,0.398
2/1/2003,0.85125
3/1/2003,1.51
4/1/2003,2.292666667
5/1/2003,2.85125
6/1/2003,3.52825
7/1/2003,2.0275
8/1/2003,1.606
9/1/2003,1.0745
10/1/2003,0.955666667
11/1/2003,0.61625
12/1/2003,0.2
1/1/2004,0.381
2/1/2004,0.959
3/1/2004,1.777
4/1/2004,2.26275
5/1/2004,3.231333333
6/1/2004,3.364
7/1/2004,2.24175
8/1/2004,1.48025
9/1/2004,1.0655
10/1/2004,0.8265
11/1/2004,0.429666667
12/1/2004,0.12225
1/1/2005,0.04425
2/1/2005,0.5625
3/1/2005,1.832
4/1/2005,2.421333333
5/1/2005,3.26775
6/1/2005,2.934
7/1/2005,2.0785
8/1/2005,1.89575
9/1/2005,1.261
10/1/2005,0.841
11/1/2005,0.57325
12/1/2005,0.19075
1/1/2006,0.2335
2/1/2006,0.9015
3/1/2006,1.74475
4/1/2006,2.592666667
5/1/2006,3.58
6/1/2006,2.99225
7/1/2006,2.3095
8/1/2006,1.763
9/1/2006,1.17125
10/1/2006,1.137
11/1/2006,0.51975
12/1/2006,0.255
1/1/2007,0.1045
2/1/2007,0.82725
3/1/2007,1.475
4/1/2007,2.114333333
5/1/2007,3.392
6/1/2007,3.66675
7/1/2007,2.39125
8/1/2007,2.23375
9/1/2007,1.361
10/1/2007,0.752
10/1/2007,0.4715
11/1/2007,0.26025
11/1/2007,0.14975
12/1/2007,0.66925
12/1/2007,1.67775
1/1/2008,2.14725
1/1/2008,2.631666667
2/1/2008,2.99925
2/1/2008,1.99725
3/1/2008,1.61725
3/1/2008,1.767
4/1/2008,0.92925
4/1/2008,0.567333333
5/1/2008,0.21825
5/1/2008,0.30575
6/1/2008,0.8765
6/1/2008,1.6065
7/1/2008,2.375666667
7/1/2008,3.2445
8/1/2008,2.9035
8/1/2008,1.98175
9/1/2008,1.432
9/1/2008,1.65575
10/1/2008,1.183666667
11/1/2008,0.56875
12/1/2008,0.31975
1/1/2009,0.34
2/1/2009,0.8445
3/1/2009,1.77625
4/1/2009,2.528333333
5/1/2009,3.3925
6/1/2009,3.004
7/1/2009,2.2285
8/1/2009,1.87825
9/1/2009,1.30725
10/1/2009,1.015666667
11/1/2009,0.496
12/1/2009,0.16725
1/1/2010,0.0305
2/1/2010,0.87525
3/1/2010,1.805
4/1/2010,2.444333333
5/1/2010,3.5045
6/1/2010,3.46275
7/1/2010,2.72625
8/1/2010,2.454
9/1/2010,1.5935
10/1/2010,1.105666667
11/1/2010,0.5045
12/1/2010,0.17975
1/1/2011,0.2695
2/1/2011,0.90625
3/1/2011,1.4525
4/1/2011,2.873
5/1/2011,3.279333333
6/1/2011,3.0675
7/1/2011,2.97775
8/1/2011,2.3555
9/1/2011,1.642
10/1/2011,0.93725
11/1/2011,0.421333333
12/1/2011,0.26725
1/1/2012,0.41175
2/1/2012,1.02875
3/1/2012,1.81675
4/1/2012,2.76
5/1/2012,3.4775
6/1/2012,3.28325
7/1/2012,2.645
8/1/2012,2.20775
9/1/2012,1.57425
10/1/2012,0.77
11/1/2012,0.53975
12/1/2012,0.1385
1/1/2013,0.2515
2/1/2013,0.87
3/1/2013,1.6975
4/1/2013,2.701
5/1/2013,3.45175
6/1/2013,3.3035
7/1/2013,3.0345
8/1/2013,2.4785
9/1/2013,1.74175
10/1/2013,1.355333333
11/1/2013,0.582
12/1/2013,0.234
1/1/2014,0.37975
2/1/2014,1.004
3/1/2014,1.79225
4/1/2014,2.590333333
5/1/2014,3.379
6/1/2014,3.15725
7/1/2014,2.708
8/1/2014,2.4235
9/1/2014,2.1305
10/1/2014,1.284333333
11/1/2014,0.5405
12/1/2014,0.20975
1/1/2015,1.536065217
2/1/2015,0.453
3/1/2015,0.7965
4/1/2015,1.46675
5/1/2015,2.4515
6/1/2015,2.604666667
7/1/2015,2.92725
8/1/2015,2.81075
9/1/2015,2.19675
10/1/2015,1.43825
11/1/2015,0.761
12/1/2015,0.383666667
1/1/2016,0.12175
2/1/2016,1.44373913
3/1/2016,0.0685
10/1/2018,0.58275
11/1/2018,1.4635
12/1/2018,2.227333333
1/1/2019,2.42825
2/1/2019,2.7115
3/1/2019,2.62375
4/1/2019,2.29575
5/1/2019,1.50025
6/1/2019,0.788
7/1/2019,0.3765
8/1/2019,0.29075
9/1/2019,0.30825
10/1/2019,0.87275
11/1/2019,1.56425
12/1/2019,2.145333333
1/1/2020,3.2435
2/1/2020,3.21125
3/1/2020,2.57425
4/1/2020,2.09725
5/1/2020,1.54475
6/1/2020,0.987
7/1/2020,0.562
8/1/2020,0.28925
9/1/2020,0.39075
10/1/2020,0.82975
11/1/2020,1.44975
12/1/2020,2.429666667
1/1/2021,2.80575
1/2/2021,3.28825
2/3/2021,2.583
3/4/2021,2.34925
4/5/2021,1.57275
5/6/2021,1.026666667
6/7/2021,0.527
7/8/2021,0.23975
